_id,title,metaDescription,status,uniquename,tags,averageRating,numRating,bookmarkCount,video,totalVideoLengthInSeconds,assignment,課程類別,course_url,owner__id,owner_name,estimatedCourseStartTime,createdAt,incubateTime,publishTime,proposalDueTime,isReject,modules,includedKnowledgeCollections,bestDiscount,successCriteria_numSoldTickets
59eca796ed6610001e82f784,【不沾水水彩】入門-色鉛筆畫出水彩風,色鉛筆水彩畫課程，無需繪畫基礎，課程將教你使用油性色鉛筆，畫出具有水彩風格的創作作品。從理解繪畫觀念開始，帶你認識各式媒材的特性與繪畫工具的使用，你也能畫出具有個人特色的色鉛筆水彩畫。,已開課,tn00031976,[],4.89,56,1574,5a1f82453e33cf001eae1ef5,17473.0,59eca796ed6610001e82f785,藝術,https://hahow.in/courses/59eca796ed6610001e82f784/main,59dba94a1f6685001ee6bf7b,尹嬛,2018-02-27T16:00:00.000Z,2017-10-22T14:13:42.000Z,2017-11-30T04:00:05.750Z,2018-02-28T04:03:02.457Z,2017-12-29T16:00:00.000Z,False,['5c91835ced65c200740ef5e7'],[],,30
567f6b1350562140005e6e86,角色設計2_人體動態與空間透視,人體動態角色設計課程，將一次教你人體動態設計與空間透視觀念與應用。課程將從空間透視開始，教你三點與多點透視的應用，接著會帶你認識鏡頭運行的概念，最後會教你如何用最簡單的線條表現人體動態。,已開課,young-art02,[],4.89,53,1597,571f68a2d60bb30900918721,22321.0,567f6b1350562140005e6e87,藝術,https://hahow.in/courses/567f6b1350562140005e6e86/main,567f532150562140005e6e6b,楊鴻仁,2016-07-30T00:00:00.000Z,2015-12-27T04:37:39.000Z,2016-04-27T04:03:37.000Z,2016-08-01T02:32:07.000Z,2016-05-27T00:00:00.000Z,False,['5c91835bed65c200740ef0b6'],[],,30
592e5e5a2f29aa0700af943b,設計 DIY - 網拍家的 PS 設計實戰,網拍 banner 設計課程，教你如何設計吸引消費者目光與提升購買率的網站 banner。課程將從 Photoshop 基本操作開始，搭配實際案例分享，帶你學會網拍設計必備的 know-how 與秘訣，大幅提升公司產品業績與銷售量。,已開課,onlinebid-ps,[],4.91,47,1902,59665e38ede9500700e66a77,59153.0,592e5e5a2f29aa0700af943c,藝術,https://hahow.in/courses/592e5e5a2f29aa0700af943b/main,592e44c72f29aa0700af933d,五更,2017-10-14T16:00:00.000Z,2017-05-31T06:10:34.000Z,2017-07-17T04:00:20.433Z,2017-10-16T03:46:22.329Z,2017-08-15T16:00:00.000Z,False,['5c91835ced65c200740ef455'],[],,50
5ecf53d6f52bb4f02c4eab50,一週間實驗室：找到個人插畫風格的電繪實作課！,"你是不是常常苦惱於不知道如何畫出自己獨特的風格呢？
在一週間實驗室裡，跟著觀測員 Barry & Feeling 
透過風格元素週期課表 x 風格練習題
一起培養出自己的插畫風格吧！",已開課,illu-observatory-01,[],5.0,15,802,628efb5427fd4b002aa2a4d2,18043.0,,藝術,https://hahow.in/courses/5ecf53d6f52bb4f02c4eab50/main,5ecc241e60b0163d0a87c47d,插畫觀測室,2022-08-23T16:00:00.000Z,2020-05-28T06:01:58.000Z,2022-05-26T04:00:20.419Z,2022-08-24T04:00:34.367Z,2022-06-24T16:00:00.000Z,False,"['62f007a9ec95c80007b8d206', '5ecf68482c010f6f83a499f6', '62f0075fec95c80007b8ab8d', '630d8563ac631c0007e37152', '630d8585620da100062f29d2', '630db424250a4e00070e25d7', '630db427ac631c0007f48ed7', '631977bde37c17000799950f']","[{'_id': '64da67cdb97f7d4b565d8398', 'title': '【插畫觀測室】兩堂經典課一次擁有！', 'coverImage': {'_id': '64da640b9d591cc7fed5d7a1', 'url': 'https://images.hahow.in/images/64da640b9d591cc7fed5d7a1', 'height': 620, 'width': 1000}, 'previewDescription': '先找到個人插畫風格 → 再將它變成文創小物！兩堂合購 = 原價打 7 折，只到 9/13！'}]",,30
5d4aeba93714d90022dfe596,從生活小物到街景，用鋼筆速寫在日子裡旅行,鋼筆速寫課程，學習運用隨興的筆觸，以鋼筆速寫描繪周遭景物，只要隨身攜帶工具，隨時都有機會完成獨一無二的鋼筆速寫作品。,已開課,pensketchnin,[],4.87,39,1696,5d674dd285201d0022180ff7,5277.0,,藝術,https://hahow.in/courses/5d4aeba93714d90022dfe596/main,5c38385cf699690021a0d45f,Nin,2019-11-26T16:00:00.000Z,2019-08-07T15:18:01.000Z,2019-08-29T04:00:18.923Z,2019-11-27T04:19:26.584Z,2019-09-27T16:00:00.000Z,False,"['5d921df7a7e8fe0020d84218', '5d4aec283714d90022dfe5b4', '5d4aec7a3714d90022dfe5d8', '5d4aecb53714d90022dfe5e8', '5dc112afb351330021ed5170']",[],,30
569110e6e8ff9b20003d0cbd,數位技法 - 配色質感輕鬆搞定！,主要利用螢幕錄影的方式，示範一張作品從草稿上色到完稿的過程，課程中會簡單介紹構圖時，角色創作的前置作業、上色方式、層次處理及簡單說明完稿後的編排，主要分成人物及背景兩個部分。,已開課,xuan-illustration,[],4.86,81,1678,5697b1614ec4c609007d1b0a,7382.0,569110e6e8ff9b20003d0cbe,藝術,https://hahow.in/courses/569110e6e8ff9b20003d0cbd/main,568cd519e8ff9b20003d009e,阿軒Dorie,2016-04-14T00:00:00.000Z,2016-01-09T13:53:42.000Z,2016-01-15T10:21:26.000Z,2016-04-15T07:01:15.000Z,2016-02-14T00:00:00.000Z,False,['5c91835bed65c200740ef0cf'],[],,30
61f188e8204c76000725244b,Procreate人體繪畫入門－扎實基礎養成,"這是一套幫助大家打穩人體繪畫基礎的課程。
不管是完全不會畫人體，還是畫人體一直卡關，都可以來試試看。",募資成功,kookiefunk2,['POPULAR'],0.0,0,679,64b608a9befe9a159742c402,1845.0,,藝術,https://hahow.in/courses/61f188e8204c76000725244b/main,5819b205cca8800700703d5c,秉鈞陳,2023-10-17T04:00:00.000Z,2022-01-26T17:46:16.116Z,2023-07-19T04:00:10.771Z,,2023-08-17T16:00:00.000Z,False,"['64684700c793bef52f26fd46', '64684739673af492f57b5083', '64684739f60c5b648b44008e', '64684738c793be2fae270a57', '64684aa47dc908e6102cd21f']","[{'_id': '64da6c8b9d591cd5c0d6b2c9', 'title': '一次帶走！兩堂 Procreat 好課', 'coverImage': {'_id': '64da6a1e75b3c20949686398', 'url': 'https://images.hahow.in/images/64da6a1e75b3c20949686398', 'height': 620, 'width': 1000}, 'previewDescription': '將人物繪畫作品，變成獨一無二的文創小物吧！兩堂合購 = 原價打 73 折，只到 9/13！'}]",,30
5606262ac61d930a00455fad,透視超訣竅(下)  如何運用透視畫出複雜的建築,透視圖進階課程，教你在理解透視原理與透視繪圖的應用後，需要注意的透視場景繪製細節。除了掌握透視觀點，視角延伸後的架構與構圖也是畫透視建築非常重要的技術，這堂透視圖進階課程，將從細節出發，讓透視圖裡的建築與畫面更完整。,已開課,,[],4.32,25,1366,560629dac61d930a00455fb5,2174.0,5606262ac61d930a00455fae,藝術,https://hahow.in/courses/5606262ac61d930a00455fad/main,55e3dcb4fa223d100058f3ca,程威誌,2015-11-20T00:00:00.000Z,2015-09-26T04:59:22.000Z,2015-10-09T04:39:45.327Z,2015-11-19T15:44:57.000Z,2015-11-08T00:00:00.000Z,False,['5c91835bed65c200740ef063'],[],,30
56f503104e3ef90900b82b94,怪獸工場 - 頭部構成與造型設計篇,頭部設計繪圖課程，學習角色設計的頭部構成與造型設計。課程將教你頭部結構的概念與設計時的注意事項，同時也會分享臉部設計與造型設計的要點，帶你畫出充滿靈魂的頭部肖像圖像。,已開課,monster4,[],4.88,24,1247,56f95d892ba01d09002ba914,14006.0,56f503104e3ef90900b82b95,藝術,https://hahow.in/courses/56f503104e3ef90900b82b94/main,56e8be814e3ef90900b7ef6a,許友豪,2016-05-14T00:00:00.000Z,2016-03-25T09:21:20.000Z,2016-03-30T11:22:32.000Z,2016-05-15T06:06:02.000Z,2016-04-29T00:00:00.000Z,False,['5c91835bed65c200740ef135'],[],,30
619284462b2a820006598823,April 的夢幻色盤：油性粉彩的療癒配方,"在忙碌、繁雜的生活裡，總是有需要呼吸的時候，畫畫，是釋放的好方法之一。
一片風景，一朵花卉都能帶來意想不到的療癒能量。
你是否也曾在閒暇時刻想拿起畫筆揮灑，卻擔憂著失敗？喜歡油畫般的質地卻覺得畫材好貴難以下手？
是否擔心無法控制媒材而浪費金錢與時間？
乾性媒材：油性粉彩，是初心者與藝術愛好者的好夥伴，少了水分的因素好控制許多，濃厚的色彩與疊色的多樣性，一盒油性粉彩就能做到許多你想像不到的效果。
而透過堆疊、塗抹的反覆步驟，來回之間更能為你的壓力找到出口。
",已開課,apriloilpastel,[],4.99,87,693,61e63b5403f7ab002a0c7cc7,13280.0,,藝術,https://hahow.in/courses/619284462b2a820006598823/main,6192838c76411a000627652c,April 小簡,2022-04-17T16:00:00.000Z,2021-11-15T16:01:10.000Z,2022-01-18T04:00:21.010Z,2022-04-18T04:00:59.553Z,2022-02-16T16:00:00.000Z,False,"['6192861176411a000628ab76', '619286432b2a8200065a71b1', '619286b247728c0007112274', '6192870b459b88000635cca9', '6192876376411a000629437d', '619287a42b2a8200065b107e']",[],,40
